userId,wallpaperId,rating,timestamp
1,2772,3.5,1700003609
1,2234,3.0,1700018766
1,1741,4.0,1700031020
1,368,5.0,1700042961
1,2057,4.0,1700052009
1,2259,4.0,1700073543
1,2558,4.0,1700094649
1,1719,5.0,1700102970
1,2347,5.0,1700115703
1,26,4.0,1700136974
1,654,3.0,1700144470
1,1408,4.5,1700146602
1,853,5.0,1700147953
1,1379,3.5,1700161398
1,1589,5.0,1700168611
1,1745,4.5,1700187496
1,1096,3.5,1700198107
1,1882,2.5,1700214765
1,1582,4.5,1700236129
1,1201,4.0,1700245108
1,2534,3.0,1700263802
1,1482,4.5,1700283257
1,2740,5.0,1700302678
1,2594,5.0,1700310164
1,1184,5.0,1700314996
1,954,3.5,1700318274
2,1909,5.0,1700104078
2,68,3.5,1700124004
2,48,2.0,1700124942
2,1421,5.0,1700137136
2,2869,3.5,1700147512
2,2626,5.0,1700155704
2,804,5.0,1700158584
2,1101,4.5,1700174808
2,1425,4.5,1700192563
2,1079,4.0,1700197070
2,732,5.0,1700215385
2,1309,5.0,1700232975
2,1223,3.5,1700247140
2,2080,3.5,1700265111
2,1800,5.0,1700272002
2,1858,5.0,1700285376
2,1906,3.5,1700306971
3,2497,5.0,1700176156
3,255,4.0,1700184201
3,1354,4.0,1700200414
3,972,4.5,1700213855
3,1980,4.5,1700219549
3,508,4.5,1700232642
3,2339,4.5,1700247851
3,993,5.0,1700266362
3,1668,5.0,1700282609
3,378,4.5,1700292631
3,1485,5.0,1700294847
3,1916,3.0,1700312913
3,222,3.0,1700323489
3,2545,5.0,1700342931
3,1666,4.0,1700360634
3,448,2.0,1700377574
3,732,4.0,1700383963
3,540,4.0,1700386489
3,1145,5.0,1700394496
3,849,3.5,1700413463
3,1816,2.0,1700433244
3,2255,2.5,1700436230
3,2568,5.0,1700455655
3,61,4.5,1700466321
4,298,3.0,1700268150
4,843,4.5,1700276678
4,410,2.0,1700278642
4,1284,4.5,1700292821
